X	Y	Z	ASPECT	SLOPE
500709.7	1102771.863	1455	270	2.86
500809.7	1102771.863	1465	270	2.86
500909.7	1102771.863	1465	270	11.31
501009.7	1102771.863	1475	270	11.31
501109.7	1102771.863	1505	270	5.71
501209.7	1102771.863	1515	270	2.86
501309.7	1102771.863	1525	0	0
501409.7	1102771.863	1525	270	2.86
501509.7	1102771.863	1525	270	8.53
501609.7	1102771.863	1535	270	8.53
501709.7	1102771.863	1555	270	2.86
501809.7	1102771.863	1565	270	2.86
501909.7	1102771.863	1565	270	2.86
502009.7	1102771.863	1575	90	2.86
502109.7	1102771.863	1575	0	0
502209.7	1102771.863	1565	270	8.53
502309.7	1102771.863	1575	270	14.04
502409.7	1102771.863	1595	270	14.04
502509.7	1102771.863	1625	270	8.53
502609.7	1102771.863	1645	270	5.71
502709.7	1102771.863	1655	270	5.71
502809.7	1102771.863	1665	270	2.86
502909.7	1102771.863	1675	270	2.86
503009.7	1102771.863	1675	270	2.86
503109.7	1102771.863	1685	270	2.86
503209.7	1102771.863	1685	254.7	48.75
503309.7	1102771.863	1695	244.4	54.2
503409.7	1102771.863	1825	213.7	19.83
503509.7	1102771.863	1945	0	0
503609.7	1102771.863	1945	0	0
503709.7	1102771.863	1945	0	0
503809.7	1102771.863	1945	0	0
503909.7	1102771.863	1945	0	0
504009.7	1102771.863	1945	0	0
504109.7	1102771.863	1945	0	0
504209.7	1102771.863	1945	0	0
504309.7	1102771.863	1945	0	0
504409.7	1102771.863	1945	0	0
504509.7	1102771.863	1945	0	0
504609.7	1102771.863	1945	0	0
504709.7	1102771.863	1945	0	0
504809.7	1102771.863	1945	0	0
504909.7	1102771.863	1945	0	0
505009.7	1102771.863	1945	0	0
505109.7	1102771.863	1945	0	0
505209.7	1102771.863	1945	0	0
505309.7	1102771.863	1945	241.4	2.39
505409.7	1102771.863	1945	254	8.77
505509.7	1102771.863	1947	266.5	20.09
505609.7	1102771.863	1974	270.6	24.39
505709.7	1102771.863	2026	271	16.53
505809.7	1102771.863	2066	263.1	10.56
505909.7	1102771.863	2084	256.5	11.53
506009.7	1102771.863	2097	261.5	9.57
506109.7	1102771.863	2123	270	2.86
506209.7	1102771.863	2137	263.9	2.69
506309.7	1102771.863	2133	268.9	14.22
506409.7	1102771.863	2145	268.8	13.86
506509.7	1102771.863	2185	264.6	3.07
506609.7	1102771.863	2193	90	2.86
506709.7	1102771.863	2197	95.4	3.07
506809.7	1102771.863	2183	269.2	19.46
506909.7	1102771.863	2185	269.4	24.07
507009.7	1102771.863	2255	101.3	2.92
507109.7	1102771.863	2273	267.2	5.91
507209.7	1102771.863	2245	268.9	32.69
507309.7	1102771.863	2295	266.8	24.26
507409.7	1102771.863	2370	104	2.36
507509.7	1102771.863	2385	84	8.2
507609.7	1102771.863	2366	90	6.65
507709.7	1102771.863	2359	98.6	8.53
507809.7	1102771.863	2336	93	10.96
507909.7	1102771.863	2330	100	6.56
508009.7	1102771.863	2300	262.7	6.71
508109.7	1102771.863	2302	276.4	8.87
508209.7	1102771.863	2330	270	4.76
508309.7	1102771.863	2335	252	6
508409.7	1102771.863	2340	231.3	3.66
508509.7	1102771.863	2353	140.2	1.49
508609.7	1102771.863	2350	275.4	14.99
508709.7	1102771.863	2355	274	19.76
508809.7	1102771.863	2410	257	12.54
508909.7	1102771.863	2420	236.2	10.45
509009.7	1102771.863	2440	228.3	8.13
509109.7	1102771.863	2450	244.9	14.25
509209.7	1102771.863	2464	241.9	15.72
509309.7	1102771.863	2490	236	13.57
509409.7	1102771.863	2513	236.8	15.8
509509.7	1102771.863	2530	235.3	14.76
509609.7	1102771.863	2555	230.2	11.05
509709.7	1102771.863	2580	239.7	15.53
509809.7	1102771.863	2585	250.1	19.06
509909.7	1102771.863	2624	250.5	12.27
510009.7	1102771.863	2660	210	4.95
510109.7	1102771.863	2667	203.4	5.75
510209.7	1102771.863	2666	234.8	7.9
510309.7	1102771.863	2673	258.8	26.15
510409.7	1102771.863	2694	254	30.96
510509.7	1102771.863	2760	221.6	11.35
510609.7	1102771.863	2800	90	13.13
510709.7	1102771.863	2800	32.9	11.12
510809.7	1102771.863	2780	319.3	17.73
510909.7	1102771.863	2796	14.8	16.7
511009.7	1102771.863	2825	44.7	23.9
511109.7	1102771.863	2790	8.8	17.02
511209.7	1102771.863	2760	332.2	20.03
511309.7	1102771.863	2780	0.5	19.16
511409.7	1102771.863	2800	19.7	19.05
511509.7	1102771.863	2780	341.1	18
511609.7	1102771.863	2770	3.3	16.2
511709.7	1102771.863	2803	320.8	11.48
511809.7	1102771.863	2760	267.4	28.84
511909.7	1102771.863	2800	263.4	23.57
512009.7	1102771.863	2850	287.5	18.37
512109.7	1102771.863	2900	17.5	13.99
512209.7	1102771.863	2940	37.6	11.59
512309.7	1102771.863	2895	294.2	10.36
512409.7	1102771.863	2885	344.3	9.44
512509.7	1102771.863	2935	263.8	7.92
512609.7	1102771.863	2910	215.8	20.31
512709.7	1102771.863	2900	217.6	14.68
512809.7	1102771.863	2940	258.9	8.12
512909.7	1102771.863	2970	262.6	4.42
513009.7	1102771.863	2978	201.4	5.22
513109.7	1102771.863	2980	214	14.05
513209.7	1102771.863	2970	221.8	19.56
513309.7	1102771.863	2990	228.2	11.87
513409.7	1102771.863	3020	328.2	4.88
513509.7	1102771.863	3052	19.7	19.05
513609.7	1102771.863	3055	353.2	32.39
513709.7	1102771.863	3070	344.6	37.5
513809.7	1102771.863	3110	357.6	30.46
513909.7	1102771.863	3100	1.8	23.04
514009.7	1102771.863	3085	6.1	20.66
514109.7	1102771.863	3084	4.6	18.58
514209.7	1102771.863	3077	327.5	14.62
514309.7	1102771.863	3068	282.2	17.77
514409.7	1102771.863	3085	264	24.35
514509.7	1102771.863	3110	264.7	36.12
514609.7	1102771.863	3165	263.5	33.53
514709.7	1102771.863	3260	257.7	28.86
514809.7	1102771.863	3290	276.6	14.67
514909.7	1102771.863	3363	13.7	20.46
515009.7	1102771.863	3386	8.6	31.88
515109.7	1102771.863	3390	347.6	31.46
515209.7	1102771.863	3390	318.3	21.22
515309.7	1102771.863	3389	289.4	3.44
515409.7	1102771.863	3387	155.7	4.39
515509.7	1102771.863	3383	151	7.65
515609.7	1102771.863	3374	155.2	10.15
515709.7	1102771.863	3364	163.1	11.95
515809.7	1102771.863	3353	161.9	13.31
515909.7	1102771.863	3347	154.8	16.76
516009.7	1102771.863	3337	154.1	20.29
516109.7	1102771.863	3310	161.6	20.52
